title	1	2	3	FeZn	Ag	Au	Cu	Fe	In	Mo	Ni	Pb	Sn	Ti	W	Zn	Zr	Magnet	OhneMagnet
299	2	0	0	0	4	3	1	1	1	16	2	1	0	5	0	0	2	4	7
300	1	0	1	0	4	2	0	1	4	14	0	5	5	2	5	0	3	6	4
301	2	0	2	1	3	3	0	3	2	10	0	1	2	3	1	0	3	9	2
302	2	0	0	0	3	6	2	1	2	12	3	0	1	4	3	0	2	2	3
303	1	0	1	1	5	3	0	0	2	5	1	0	4	3	3	3	0	6	6
304	0	0	0	0	4	3	0	1	3	4	0	1	6	0	2	1	1	1	6
305	0	0	0	0	3	1	0	1	3	1	1	1	4	0	4	0	1	5	7
306	2	2	0	1	2	4	1	0	2	0	1	1	1	0	0	2	0	2	11
307	1	0	0	0	5	7	0	1	4	1	1	2	2	1	1	0	0	5	5
308	0	1	0	0	2	5	0	0	3	1	1	1	1	3	2	1	1	6	6
309	1	1	0	0	3	1	0	0	1	1	3	2	2	0	0	0	2	4	6
310	0	0	0	0	4	3	1	0	1	0	1	3	2	3	0	1	0	9	12
311	0	1	0	0	4	2	1	0	1	1	1	2	1	0	1	0	2	5	11
312	0	0	0	0	3	4	2	1	1	0	0	0	1	1	1	0	0	6	9
313	1	1	0	0	7	0	0	1	1	2	3	0	2	0	0	0	0	5	6
314	0	1	1	0	9	1	0	0	0	0	1	1	1	0	0	0	1	5	10
315	0	0	0	0	2	2	0	1	2	0	0	2	6	2	0	0	2	1	6
316	1	0	1	0	4	3	1	0	3	1	0	1	3	2	0	2	0	4	3
317	1	0	0	0	8	4	1	0	3	1	1	0	1	0	0	1	0	3	6
318	0	2	0	0	15	0	2	1	2	0	1	2	3	1	0	0	0	8	3
319	0	0	0	1	26	2	1	1	2	0	0	1	4	1	1	0	1	5	6
320	2	0	0	1	30	4	0	1	1	0	1	0	2	0	1	0	1	6	4
321	0	0	1	0	59	3	0	1	3	0	2	1	2	0	1	2	2	3	5
322	0	0	2	0	51	5	2	1	3	0	3	1	2	1	0	1	0	5	1
323	2	0	1	0	92	4	0	0	1	0	0	2	3	1	2	0	1	2	4
324	2	0	0	0	120	0	0	0	2	0	1	0	2	0	0	1	0	8	6
325	1	0	0	0	158	3	0	2	0	0	1	0	1	0	0	0	1	2	3
326	1	0	0	0	136	1	1	0	2	1	0	2	2	0	1	0	1	2	4
327	0	0	0	1	144	1	0	1	1	0	1	0	2	2	0	1	1	8	4
328	0	0	0	0	130	1	1	0	3	0	0	2	1	1	0	1	1	3	4
329	1	0	1	1	88	2	1	2	1	0	0	0	2	2	1	0	0	2	5
330	0	0	1	0	73	1	0	0	4	0	0	0	1	0	0	0	2	3	1
331	0	1	0	0	63	3	0	3	2	0	2	2	2	2	1	2	0	3	3
332	0	0	1	0	42	4	1	0	1	0	0	1	1	1	0	0	0	2	3
333	1	0	1	0	39	4	0	1	4	0	0	1	2	0	0	1	0	2	2
334	3	2	0	0	14	1	0	1	2	1	1	2	1	0	0	1	2	1	4
